num_doc,wiki_text,viki_text
5,"Typically, this would be a harpsichord player, a pipe organist or a luteist or theorbo player.",At this time there was usually someone playing the harpsichord .
6,The book was adapted into a film by director Wes Anderson.,This book was adapted as a stop-motion animation movie by director Wes Anderson in 2009.
6,The story is about Mr. Fox and how he outwits his farmer neighbours to steal their food from right under their noses.,"Mr. Fox is the head of a family, whom he supports by stealing barnyard fowl from his farmer neighbors."
6,The trio of farmers are ridiculed for their persistence but they refuse to give up and vow not to return to their farms until they have caught Mr. Fox.,Three angry farmers try to capture Mr Fox and his family.
7,"Barbie has been an important part of the toy fashion doll market for over fifty years, and has been the subject of numerous controversies and lawsuits, often involving parodies of the doll and her lifestyle.","The clothes and fashion accessories allow girls a taste of high fashion. Throughout the decades, Barbie has reflected and encouraged feminine growth in the workplace in the United States and been a miniature model of women worldwide. The doll has been criticized for causing self-image complexes, yet other companies continue to produce similar dolls."
7,"Barbie is a fashion doll manufactured by the American toy company Mattel, Inc. and launched in March 1959.",Barbie Barbie is best known as a toydoll.
7,"Mattel has sold over a billion Barbie dolls, making it the company's largest and most profitable line.","""The Barbie doll is the biggest selling toy in the history of proprietary toy manufacturing."""
7,"She has an on-off romantic relationship with her boyfriend Ken (""Ken Carson""), who first appeared in 1961.",Ken was her boyfriend and came to be in 1962.
7,"The doll made its debut at the American International Toy Fair in New York on March 9, 1959. This date is also used as Barbie's official birthday.","Barbie was first released on March 9, 1959 at a toy fair in New York after seven years of battling disagreements."
7,"Upon her return to the United States, Handler redesigned the doll (with help from engineer Jack Ryan) and the doll was given a new name, Barbie, after Handler's daughter Barbara.","She originally wanted to name the doll ""Barbara"", after her daughter, or ""Bab's"" after her daughter's nickname."
9,"La Scala hosted the first productions of many famous operas, and had a special relationship with Verdi.",Many of the greatest operas have had their first performances at La Scala.
10,"* April 25 - A magnitude 7.8 earthquake strikes Nepal and causes 8,857 deaths in Nepal, 130 in India, 27 in China and 4 in Bangladesh with a total of 9,018 deaths.","April 25: A 7.8-magnitude earthquake strikes Nepal, causing over 6,000 deaths."
10,"* March 24 - An Airbus A320-211 operated by Germanwings crashes in the French Alps, killing all 150 on board.",March 24: Germanwings Flight 9525 crashes down in the French Alps.
10,"* March 6 - NASA's Dawn probe enters orbit around Ceres, becoming the first spacecraft to visit a dwarf planet.",March 6: NASA lands it's Dawn probe on Ceres.
10,"* November 13 - Multiple terrorist attacks claimed by Islamic State of Iraq and the Levant (ISIL) in Paris, France, result in 130 fatalities.","November 13: Multiple terrorist attacks occur in Paris, causing 139 deaths."
10,"* September 24 - A stampede during the Hajj pilgrimage in Mecca kills at least 2,200 people and injures more than 900 others, with more than 650 missing.","September 24: During the Hajj in Saudi Arabia, 2,200 people are killed when a tower collapses, and causing a stampede."
12,James Joyce by the Irish.,James Joyce (2 February 1882 - 13 January 1941) was an Irish writer.
13,"Appearance The European beech (Fagus sylvatica) is the most commonly cultivated, although few important differences are seen between species aside from detail elements such as leaf shape. The leaves of beech trees are entire or sparsely toothed, from long and broad.",European beeches (Fagus sylvatica) have a silver-grey smooth thin bark and toothed deciduous leaves.
13,"Some drums are made from beech, which has a tone between those of maple and birch, the two most popular drum woods.",Beech wood is an excellent firewood and some drums are made from beech.
13,"The fruit is a small, sharply three-angled nut long, borne singly or in pairs in soft-spined husks long, known as cupules.",They bear small fruits called nuts protected by husks known as cupules.
13,"The timber can be used to build chalets, houses, and log cabins.",It gives a utility timber used to build log cabins.
14,"Prior to this, three preliminary knockout qualifying rounds whittled down the remaining teams, with teams starting in different rounds.","At the beginning, the tournament included two rounds of direct elimination, but in 1991 other elimination stages were introduced, making the race more competitive."
14,"Real Madrid is the most successful club in the tournament's history, having won it 13 times, including its first five seasons.",Real Madrid in a few years had become the strongest team in the Champions League because of winning the cup for 5 years straight.
14,"Referees are appointed based on previous matches, marks, performances, and fitness levels.",The teams qualify according to the ranking position obtained the season before.
14,"The UEFA Champions League (abbreviated as UCL) is an annual club football competition organised by the Union of European Football Associations (UEFA) and contested by top-division European clubs, deciding the best team in Europe.",UEFA Champions League UEFA Champions league from 1992 until today is the most prestigious tournament in Europe.
15,"The closest relatives of gorillas are the other two Homininae genera, chimpanzees and humans, all of them having diverged from a common ancestor about 7 million years ago.","The gorilla is the next-closest living relative to humans, after the chimpanzee and bonobo."
15,"There is now agreement that there are two species, each with two subspecies.",There are two species (eastern and western) and four or five subspecies.
16,"A mushroom, or toadstool, is the fleshy, spore-bearing fruiting body of a fungus, typically produced above ground, on soil, or on its food source.","Mushroom A mushroom, or toadstool, is a type of fungus."
16,Identifying mushrooms requires a basic understanding of their macroscopic structure. Most are Basidiomycetes and gilled.,Most mushrooms are gilled.
18,A combination of climate change and hunting by humans may be a possible explanation for their extinction.,They were killed off by hunters and climate change.
18,"A mammoth is any species of the extinct genus Mammuthus, one of the many genera that make up the order of trunked mammals called proboscideans.",Mammoth The mammoth (scientific name : Mammuthus) is an extinct elephant.
18,"They lived from the Pliocene epoch (from around 5 million years ago) into the Holocene at about 4,000 years ago, and various species existed in Africa, Europe, Asia, and North America.","They lived in Africa, Europe, Asia, and North America."
20,"It is possible that certain animals (e.g., elephants) may have heard the sounds of the tsunami as it approached the coast.",Animals can sense a tsunami approaching because of their superior sense of hearing.
20,"The reason for the Japanese name ""harbour wave"" is that sometimes a village's fishermen would sail out, and encounter no unusual waves while out at sea fishing, and come back to land to find their village devastated by a huge wave. As the tsunami approaches the coast and the waters become shallow, wave shoaling compresses the wave and its speed decreases below .",Tsunami is a Japanese word meaning harbour (tsu) wave (nami).
21,Advanced riders pursue both steep technical descents and high incline climbs.,Advanced riders take on steep technicaldescents and high inclineclimbs.
21,"Lastly, maintenance of the rider's bike needs to be carried out more frequently for mountain biking than for casual commuter biking.","Using the bike's brakes must be done carefully on a mountain bike, especially when going downhill."
21,"Mountain bikes are generally used as many bike packing destinations are reached via forest-service roads or singletrack trails. Generally, bikepackers tend to cover anywhere from 25 to 75 miles (40 - 120 km) in a given day as the riding can be technical.","Mountain biking can be performed almost anywhere from a back yard to a gravel road, but the majority of mountain bikers ride off-road trails."
21,"The environmental impacts of mountain biking can be greatly reduced by not riding on wet or sensitive trails, keeping speeds modest so as to minimize cornering forces and braking forces, not skidding, and by staying on the trail.",Mountain biking should be done so as to enjoy the ride but not damage the environment.
22,"All snakes are strictly carnivorous, eating small animals including lizards, frogs, other snakes, small mammals, birds, eggs, fish, snails, worms or insects.","All snakes are carnivorous, and most of them are predators."
22,"Some snakes have a venomous bite, which they use to kill their prey before eating it. Other snakes kill their prey by constriction.",A snake hunts its prey and kills it either with a venomous bite or by smothering it (snakes of this kind are called constrictors).
25,"Savannas are also characterised by seasonal water availability, with the majority of rainfall confined to one season; they are associated with several types of biomes, and are frequently in a transitional zone between forest and desert or grassland.",The Savanna or savannah is a type of biome that exist in tropical and subtropical regions.
26,"Following the incident, the new Defence Against the Dark Arts teacher Remus Lupin begins to teach Harry to repel dementors with magic such as the Patronus charm. Harry, Ron, and Hermione learn that Dementors will be patrolling the school in an attempt to catch Black.","As Harry struggles with his reaction to the dementors - dark creatures with the power to devour a human soul and feed on despair - which are ostensibly protecting the school, he reaches out to Remus Lupin, a Defence Against the Dark Arts teacher who is eventually revealed to be a werewolf."
26,"Lupin is a werewolf at full moons and he can't stop himself from being one , which led to his friends James Potter, Sirius Black, and Peter Pettigrew deciding to be able to turn into animals . Lupin explains that Scabbers is Pettigrew in his animal form; he has been hiding from Black, whom he had framed for betraying Harry's parents and murdering the twelve Muggles.","Harry comes to know that both Lupin and Black were best friends of his father and that Black was framed by their fourth friend, Peter Pettigrew, who had been hiding as Ron's pet rat, Scabbers."
26,"The book follows Harry Potter, a young wizard, in his third year at Hogwarts School of Witchcraft and Wizardry.","The third novel, Harry Potter and the Prisoner of Azkaban, follows Harry in his third year of magical education."
26,"While there, he meets his best friends Ron Weasley and Hermione Granger. The night before Harry is expected to leave for Hogwarts, he learns from Arthur Weasley that Sirius Black is a convicted murderer in the wizarding world, and he warns Harry that it is believed Black will attempt to murder Harry next.","Instead, Harry must deal with the knowledge that he has been targeted by Sirius Black, his father's best friend, and, according to the Wizarding World, an escaped mass murderer who assisted in the murder of Harry's parents."
27,"Despite the fact that Rome is home to the Vatican City and St. Peter's Basilica, Rome's cathedral is the Archbasilica of Saint John Lateran, located to the south-east of the city-centre.","The cathedral of Rome is the St. John Lateran's Basilica, which is one of the four patriarchal and Papal basilicas."
27,"Every May, Rome hosts the ATP Masters Series tennis tournament on the clay courts of the Foro Italico.","During the third week of May, the Rome Masters or Italian Open take place."
27,"It is generally thought the population of the city until 300 AD was 1 million (estimates range from 2 million to 750,000) declining to 750-800,000 in 400 AD, 450-500,000 in 450 AD and down to 80-100,000 in 500 AD (though it may have been twice this).","Under the Empire, the ancient city had about half a million people (the largest city in the world at the time)."
27,Rome also serves as the capital of the Lazio region.,"Rome, nicknamed the ""Eternal City"", is the capital of Italy, and administrative center of the Latium region."
27,"Rome hosted the 1960 Summer Olympics, with great success, using many ancient sites such as the Villa Borghese and the Thermae of Caracalla as venues.",Rome hosted the Olympic Games in 1960 and the first Paralympic Games the same year.
27,"Rome is also called the ""Caput Mundi"" (Capital of the World). After the fall of the Western Empire, which marked the beginning of the Middle Ages, Rome slowly fell under the political control of the Papacy, and in the 8th century it became the capital of the Papal States, which lasted until 1870.","Capital of the Roman Empire in ancient history and the seat of the Vatican, Rome has exerted a great influence in the history of the world."
27,"Rome is the third most visited city in the EU, after London and Paris, and receives an average of 7-10 million tourists a year, which sometimes doubles on holy years.","Rome is the most-visited city in Italy by number of tourists, and the second most-visited in the world (after Paris)."
27,Rome then became the focus of hopes of Italian reunification after the rest of Italy was united as the Kingdom of Italy in 1861 with the temporary capital in Florence. That year Rome was declared capital of Italy even though it was still under the Pope's control.,"In the middle of the 19th century, with the Italian unification, it became the capital of the new Kingdom of Italy, and then the Republic, starting in 1946."
27,"The Rome area had a GDP amounting to $167.8 billion, and $38,765 per capita. Although the economy of Rome is characterised by the absence of heavy industry and it is largely dominated by services, high-technology companies (IT, aerospace, defence, telecommunications), research, construction and commercial activities (especially banking), and the huge development of tourism are very dynamic and extremely important to its economy.",Rome has a rather dynamic and diverse economy.
27,"To accomplish that, the Popes engaged the best artists of the time, including Michelangelo, Perugino, Raphael, Ghirlandaio, Luca Signorelli, Botticelli, and Cosimo Rosselli.","After that, the popes brought back to Rome a large part of its splendor, inviting some of the greatest artists, such as Michelangelo and Raphael."
28,"During this time, their first daughter, Zilla, died at the age of nine months and their second daughter, Eliza, was born.",They had a daughter named Eliza.
28,"On June 15, 1777, she married her second husband, mariner Joseph Ashburn.",Her second husband was mariner Joseph Ashburn.
29,"Because feathers are often associated with birds, feathered dinosaurs are often touted as the missing link between birds and dinosaurs. However, the multiple skeletal features also shared by the two groups represent another important line of evidence for paleontologists.","While some dinosaurs were close relatives to the birds, and had feathers, like their cousins, other were more distant cousins, and had a more reptilian appearance."
30,"Risotto (, , from meaning ""rice"") is a northern Italian rice dish cooked with broth until it reaches a creamy consistency. The broth can be derived from meat, fish, or vegetables.","Risotto is an Italian dish which consists of rice cooked in stock or broth, together with other ingredients such as meat and vegetables."
30,"Risotto, unlike other rice dishes, requires constant care and attention.",risotto has a thick and creamy texture.
32,Amundsen next planned to take an expedition to the North Pole and explore the Arctic Basin.,Amundson was a Norwegian who explored the Arctic and the South Pole.
32,He led the first expedition proven to have reached the North Pole in 1926.,He and his team were the first to reach the South Pole.
32,"Roald Engelbregt Gravning Amundsen (, ; 16 July 1872 - ) was a Norwegian explorer of polar regions and a key figure of the Heroic Age of Antarctic Exploration. He led the first expedition to traverse the Northwest Passage by sea, from 1903 to 1906, and the first expedition to the South Pole in 1911.","Roald Amundsen (Roald Engelbregt Gravning Amundsen, 16 July 1872 - c. 18 June 1928) led the Antarctic expedition (1910-12)."
33,"Gandhi is also called Bapu (Gujarati: endearment for father,).","He is also called Bapu in India (Gujarati endearment for ""father"", ""papa"")."
33,Gandhi opposed partition of the Indian subcontinent along religious lines.,"Gandhi wanted independence, but did not want the split into two different countries."
33,"Gandhi, at age 22, was called to the bar in June 1891 and then left London for India, where he learned that his mother had died while he was in London and that his family had kept the news from him. Civil rights activist in South Africa (1893-1914) In April 1893, Gandhi aged 23, set sail for South Africa to be the lawyer for Abdullah's cousin. He spent 21 years in South Africa, where he developed his political views, ethics and politics.","When Gandhi was 18 years old, he went to England to study law."
33,Godse was found guilty and executed in 1949.,Godse was hanged as punishment for this.
33,In 1934 Gandhi resigned from Congress party membership.,"In 1938, Gandhi resigned from Congress."
33,"Mohandas Karamchand Gandhi (; 2 October 1869 - 30 January 1948) was an Indian lawyer, anti-colonial nationalist, and political ethicist, who employed nonviolent resistance to lead the successful campaign for India's independence from British Rule, and in turn inspire movements for civil rights and freedom across the world.",Mohandas Karamchand Gandhi (Hindi: मोहनदास करमचन्द गांधी; Gujarati: મોહનદાસ કરમચંદ ગાંધી; 2 October 1869 - 30 January 1948) was a leader of nationalism in British-ruledIndia.
33,"The honorific Mahātmā ( and Verulam referred to Gandhi as a 'Mahatma', 'great soul'. He was seen as a great soul because he had taken up the poor's cause.","He is more commonly called Mahatma Gandhi; mahatma is an honorific meaning ""high-souled"" or ""venerable"" in Sanskrit."
33,There he nurtured his policy of peaceful resistance.,"He created a powerful, non-violent movement."
34,"Geography The Sundarban forest lies in the vast delta on the Bay of Bengal formed by the super confluence of the Ganges, Hooghly, Padma, Brahmaputra and Meghna rivers across southern Bangladesh.","Located in the delta area of ​​the Ganges, Meghna and Brahmaputra river basins, this magnificent forest covers Khulna, Satkhira, Bagerhat, Patuakhali and Barguna districts of Bangladesh and two districts of the Indian state of West Bengal in North 24 Parganas and South 24 Parganas."
34,"The Indian part of Sundarbans is estimated to be about , of which about is occupied by waterbodies in the forms of river, canals and creeks of width varying from a few metres to several kilometres.","The 10,000 sq km of the Sundarbans covers 6,016 sq km in Bangladesh and the rest in India."
34,There is much more wildlife there than just the endangered Bengal tiger (Panthera tigris tigris).,"Apart from the famous Royal Bengal Tiger, the forest is also known as the habitat of many species of animals including birds, chitra deer, crocodiles and snakes."
35,"*Strauss, Walter L. (ed.). The Complete Engravings, Etchings and Drypoints of Albrecht Durer.","Walter L. Strauss (Editor) (1973), The Complete Engravings, Etchings and Drypoints of Albrecht Durer, Dover Publications."
35,"After a few years of school, Dürer started to learn the basics of goldsmithing and drawing from his father.",Dürer had started to learn goldsmithing and drawing from his father.
35,"An image of the Indian rhinoceros, the image has such force that it remains one of his best-known and was still used in some German school science text-books as late as last century.","It was not very lifelike, but still being used in some German school science text-books early last century. The rhinoceros was from an extinct Indian species."
35,"Around 1503-1505 Dürer produced the first 17 of a set illustrating the Life of the Virgin, which he did not finish for some years.","Around 1503-1505 he produced the first seventeen of a set illustrating the life of the Virgin, which he did not finish for some years."
35,"Dover Publications, 1973. *Wilhelm, Kurth (ed.). The Complete Woodcuts of Albrecht Durer, Dover Publications, 2000.","Wilhelm Kurth (Editor) (2000), The Complete Woodcuts of Albrecht Durer, Dover Publications."
35,Dürer may even have contributed to the Nuremberg City Council's mandating Lutheran sermons and services in March 1525.,"His writings show that Dürer was highly sympathetic to Martin Luther, and he may have been influential in the City Council declaring for Luther in 1525."
35,"Dürer was born on 21 May 1471, third child and second son of his parents, who had at least fourteen and possibly as many as eighteen children.","Dürer was the third child and second son of his parents, who had between fourteen and eighteen children."
35,"Dürer's introduction of classical motifs into Northern art, through his knowledge of Italian artists and German humanists, has secured his reputation as one of the most important figures of the Northern Renaissance.","Dürer's prints made him famous across Europe before he was 30, and many people say he is the greatest artist of the Renaissance in Northern Europe."
35,"His famous series of sixteen great designs for the Apocalypse is dated 1498, as is his engraving of St. Michael Fighting the Dragon.",His famous series of sixteen great designs for the Apocalypse are dated 1498.
35,"His father, Albrecht Dürer the Elder (originally Albrecht Ajtósi), was a successful goldsmith who in 1455 had moved to Nuremberg from , near Gyula in Hungary.","His father was a successful goldsmith from Ajtós, near Gyula in Hungary."
35,"His well-known engravings include the Knight, Death and the Devil (1513), Saint Jerome in his Study (1514) and Melencolia I (1514), which has been the subject of extensive analysis and interpretation.","Dürer's best known individual engravings include Knight, Death, and the Devil (1513), Saint Jerome in his Study (1514) and Melencolia I (1514)."
35,"However, his training in Wolgemut's studio, which made many carved and painted altarpieces and both designed and cut woodblocks for woodcut, evidently gave him great understanding of what the technique could be made to produce, and how to work with block cutters.","But he had designed and cut woodblocks for woodcut as part of his training in Wolgemut's studio, and he had seen many carved and painted altarpieces made in the studio. This means he knew what could be made into a woodblock print, and how to work with the expert block cutters."
35,"In 1515, he created his woodcut of a Rhinoceros which had arrived in Lisbon from a written description and sketch by another artist, without ever seeing the animal himself.","In 1515, he created his woodcut of the Rhinoceros. The rhinoceros was in Lisbon, but Durer never saw it. He made it from a sketch and description from another artist."
35,"In Italy, he went to Venice to study its more advanced artistic world.","In Italy, he went to Venice where artists were working in a more modern style."
35,"In July 1520 Dürer made his fourth and last major journey, to renew the Imperial pension Maximilian had given him and to secure the patronage of the new emperor, Charles V, who was to be crowned at Aachen. Dürer journeyed with his wife and her maid via the Rhine to Cologne and then to Antwerp, where he was well received and produced numerous drawings in silverpoint, chalk and charcoal. In addition to going to the coronation, he made excursions to Cologne (where he admired the painting of Stefan Lochner), Nijmegen, 's-Hertogenbosch, Bruges (where he saw Michelangelo's Madonna of Bruges), Ghent (where he admired van Eyck's altarpiece), and Zeeland.","He took his wife and her maid and left Nuremberg for the Netherlands in July 1520, to be at the coronation of the new emperor, Charles V. He travelled by the Rhine to Cologne, and then to Antwerp, where he made many drawings in silverpoint, chalk, and charcoal."
35,"Indeed, complaining that painting did not make enough money to justify the time spent when compared to his prints, he produced no paintings from 1513 to 1516.","He complained that painting did not make enough money, so from 1511 to 1514 he concentrated on printmaking."
35,"It contained an unprecedented 1,809 woodcut illustrations (albeit with many repeated uses of the same block) by the Wolgemut workshop.","It had 1,809 woodcut pictures by the Wolgemut workshop."
35,It is now thought unlikely that Dürer cut any of the woodblocks himself; this task would have been performed by a specialist craftsman.,Dürer probably did not cut any of the woodblocks himself. This was a job for experts.
35,"Koberger's most famous publication was the Nuremberg Chronicle, published in 1493 in German and Latin editions.","His most famous publication was the Nuremberg Chronicle, published in 1493 in German and Latin."
35,"On his return to Nuremberg in 1495, Dürer opened his own workshop (being married was a requirement for this).","On his return to Nuremberg in 1495, Dürer opened his own workshop."
35,"This may have been due in part to his declining health, but perhaps also because of the time he gave to the preparation of his theoretical works on geometry and perspective, the proportions of men and horses, and fortification.","This was partly because of his illness, but more because of the time he spent preparing to write books about geometry and perspective, the proportions of men and horses, and fortification."
35,"This provides rare information of the monetary value placed on prints at this time. Unlike paintings, their sale was very rarely documented.","This is some of the few times the price of prints was recorded, so historians think it very important to show the values of prints compared to paintings at that time."
35,"Within three months of his marriage, Dürer left for Italy, alone, perhaps stimulated by an outbreak of plague in Nuremberg.",Within three months Dürer left for Italy. The start of plague in Nuremberg was one reason for his leaving.
35,"Yale, 1996. *Panofsky, Erwin. The Life and Art of Albrecht Dürer, Princeton, 2005. *Price, David Hotchkiss.","Giulia Bartrum (2002), Albrecht Dürer and his Legacy, British Museum Press."
39,"Piano Tiles 2 is a music arcade game, created by Hu Wen Zeng.","Piano Tiles 2 is Arcade Game! The Game Created in August 19, 2015. By Hu Wen Zeng! is The 2 Game!"
41,"Biography Fourier was born at Auxerre , the son of a tailor.","Joseph Fourier is born 21 March 1768 in Auxerre, France."
41,"Fourier was recommended to the Bishop of Auxerre and, through this introduction, he was educated by the Benedictine Order of the Convent of St. Mark. The commissions in the scientific corps of the army were reserved for those of good birth, and being thus ineligible, he accepted a military lectureship on mathematics.",Fourier is recommended to the bishop of Auxerre and he starts studying at the benedictine order of the convent of St. Mark; next Joseph accepts a military lectureship on mathematics.
41,"He took a prominent part in his own district in promoting the French Revolution, serving on the local Revolutionary Committee.","In his district, he promotes the French Revolution and serves the local revolutionary committee."
41,He was orphaned at the age of nine.,He loses his father and his mother early and is orphaned at the age of nine.
41,"In the 1820s Fourier calculated that an object the size of the Earth, and at its distance from the Sun, should be considerably colder than the planet actually is if warmed by only the effects of incoming solar radiation. He examined various possible sources of the additional observed heat in articles published in 1824 and 1827.","Note: during this work on heat, Fourier realises that the Earth should be colder than it actually is, if the Sun would be its sole source of heat."
41,"While he ultimately suggested that interstellar radiation might be responsible for a large portion of the additional warmth, Fourier's consideration of the possibility that the Earth's atmosphere might act as an insulator of some kind is widely recognized as the first proposal of what is now known as the greenhouse effect, although Fourier never called it that.","To explain the actual temperature of the Earth, one suggestion made by Fourier is that the Earth atmosphere could be a kind of insulator."
42,Prose poetry is a hybrid genre that shows attributes of both prose and poetry.,"Poetry is a special type of writing which tells about ideas, stories, or emotions."
43,"*Artistic languages devised to create aesthetic pleasure or humorous effect, just for fun; usually secret languages and mystical languages are classified as artlangs.","Artistic languages - designed to look or sound pretty, or just for fun."
43,"*Auxiliary languages (auxlangs) devised for international communication (also IALs, for International Auxiliary Language);",Auxiliary languages (auxlangs) - designed to make international communication easier
43,"*Engineered languages (engelangs ), further subdivided into logical languages (loglangs), philosophical languages and experimental languages; devised for the purpose of experimentation in logic, philosophy, or linguistics;",Engineered languages (engelangs) - designed for experimental purposes
43,"A constructed language can have native speakers if young children learn it from parents who speak it fluently. According to Ethnologue, there are ""200-2000 who speak Esperanto as a first language"".","The most spoken constructed language is Esperanto, an auxlang, which has around two million speakers."
43,Artistic languages * Klingon from the science-fiction franchise Star Trek * The languages created by fantasy writer J. R. R. Tolkien A posteriori language,"Some constructed languages are also created for use in fiction, for example Klingon from the Star Trek universe."
43,"Constructed languages may also be referred to as artificial, planned or invented languages and in some cases fictional languages. There are many possible reasons to create a constructed language, such as to ease human communication (see international auxiliary language and code); to give fiction or an associated constructed setting an added layer of realism; for experimentation in the fields of linguistics, cognitive science, and machine learning; for artistic creation; and for language games.",There are several different reasons people create constructed languages.
46,"His brother is Thanatos (""Death"").",He is the child of Nyx and Erebus and a brother to death aka Thanatos (the Greek personification of death).
46,"Hypnos managed to avoid Zeus by hiding with his mother, Nyx.",He is even known to have put Zeus to sleep but was not caught because he hid with his mother Nyx.
46,"In Greek mythology, Hypnos (; , ""sleep"") is the personification of sleep; the Roman equivalent is known as Somnus.",Hypnos (to the Greeks) or Somnus (to the Romans) is the personification of sleep.
47,* 11 December 193620 November 1947:,11 December 1936 - 20 November 1947:
47,* 20 November 19476 February 1952:,20 November 1947 - 6 February 1952:
47,* 21 April 192611 December 1936:,21 April 1926 - 11 December 1936:
47,"* Pimlott, Ben (2001).","Pimlott, Ben (2002 - revised edition 2007)"
47,"During her grandfather's reign, Elizabeth was third in the line of succession to the British throne, behind her uncle Edward and her father.","Princess Elizabeth was third in the line of succession to the British Throne. The first in line was her uncle, the Prince of Wales."
47,"During the tour, in a broadcast to the British Commonwealth on her 21st birthday, she made the following pledge: ""I declare before you all that my whole life, whether it be long or short, shall be devoted to your service and the service of our great imperial family to which we all belong.""",She made a speech on her 21st birthday. She said her whole life would be devoted to the service of British Commonwealth and Empire.
47,Elizabeth II (Elizabeth Alexandra Mary Windsor; born 21 April 1926) is Queen of the United Kingdom and the other Commonwealth realms.,Elizabeth II The countries of which she is Queen are known as Commonwealth realms.
47,"Elizabeth was born at 02:40 (GMT) on 21 April 1926, during the reign of her paternal grandfather, King George V. Her father, the Duke of York (later King George VI), was the second son of the King.",Elizabeth was born in London on 21 April 1926. Her father was Prince Albert. He was Duke of York.
47,"Elizabeth's only sibling, Princess Margaret, was born in 1930.","Princess Elizabeth had one sister, Princess Margaret. Margaret was born in 1930."
47,"Her mother, the Duchess of York (later Queen Elizabeth The Queen Mother), was the youngest daughter of Scottish aristocrat the Earl of Strathmore and Kinghorne.",Her mother was Elizabeth. She was Duchess of York.
47,"In 1953, the Queen and her husband embarked on a seven-month round-the-world tour, visiting 13 countries and covering more than 40,000 miles by land, sea and air.","In 1953, the Queen and Prince Philip, began a six-month, around the world tour in the Royal Yacht, Britannia."
47,She became the first reigning monarch of Australia and New Zealand to visit those nations.,"She was the first reigning monarch to visit Australia, New Zealand and Fiji."
47,"The two princesses were educated at home under the supervision of their mother and their governess, Marion Crawford.",The two young princesses were taught at home. They had a governess named Marion Crawford.
47,"Throughout her reign, the Queen has made hundreds of state visits to other countries and tours of the Commonwealth; she is the most widely travelled head of state.","Since then, the Queen has made visits to most Commonwealth countries."
47,"When her grandfather died in 1936 and her uncle succeeded as Edward VIII, she became second in line to the throne, after her father.","She was third in line. Elizabeth's grandfather, King George V, died in 1936. Her uncle became King Edward VIII."
48,"The three lakes are called Lago Superiore, Lago di Mezzo, and Lago Inferiore (""Upper"", ""Middle"", and ""Lower"" Lakes, respectively).","They are Italian. It has four lakes:lake Superior,lake Inferior,lake of Median and lake Paiolo."
49,"Winx Club is an Italian animated television series created by Iginio Straffi and co-produced by Rainbow SpA, Rai Fiction, and Nickelodeon.",Winx Club is an animated series created by Iginio Straffi and his company Rainbow SRL later seasons also by Viacom USA.
50,Almost a thousand impact craters on Venus are evenly distributed across its surface.,Venus is scarred by numerous impact craters distributed randomly over its surface.
